FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,toilette_type,etab_nom,geometry
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_63b,Maritime,Vo,Vo 3,Dzrékpo,{Latrines seches},Nsp,POINT (1.5683949150686183 6.468382514556497)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_63c,Maritime,Vo,Vo 3,Dzrékpo,{Latrines seches},Nsp,POINT (1.5670097521030883 6.475849197870114)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_63d,Maritime,Vo,Vo 3,Dzrékpo,{Pissotieres},Nsp,POINT (1.5984700071280096 6.399274805079539)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_63e,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,{Latrines seches},Epp Amaoude-mo,POINT (1.1193033333333349 9.15009666666666)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_63f,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,{Latrines seches},Ceg Amaoude,POINT (1.1549492549508187 9.144516633181254)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_640,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,"{WCs,Latrines seches}",Epp Bouvouma,POINT (1.1331842458627444 9.17576658032232)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_641,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,{Latrines seches},Epp Amaoude,POINT (1.1503350000000008 9.139241666666667)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_642,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,{Latrines seches},Epp Amaoude-mo,POINT (1.1196933333333348 9.150298333333334)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_643,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines seches},Nsp,POINT (1.1786078446631176 6.252869908727571)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_644,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,"{Douches,Latrines seches}",Nsp,POINT (1.1834269185131974 6.241979870257003)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_645,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.1957116907923178 6.2315125452705855)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_646,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,{Latrines seches},Epp Bawade,POINT (1.2041025794151659 9.155583637211695)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_647,Centrale,Tchaoudjo,Tchaoudjo 3,Amaïde,{Latrines a eau},Ceg Amaide,POINT (1.1942834134800795 9.178373384185031)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_648,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.2560981154411277 6.214256529410463)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_649,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.2378378853160137 6.21497517461509)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_64a,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2407494104425485 6.209264756393282)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_64b,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.2648466666666658 6.160379999999999)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_64c,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2813139495693175 6.171112805541418)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_64d,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines seches},Nsp,POINT (1.259141465003616 6.153346181864046)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_64e,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.1809626738985781 6.2254224555195625)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_64f,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{autre},Nsp,POINT (1.1752564975183135 6.2434204097556645)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_650,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.1850916666666662 6.210616666666661)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_651,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.185099681766996 6.210743387581908)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_652,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.1810850080282906 6.225726979399028)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_653,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Nsp,Nsp,POINT (1.1852316666666662 6.242123333333334)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_654,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Nsp,Nsp,POINT (1.1679516666666678 6.240998333333333)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_655,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.1785294593084734 6.247030087353608)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_656,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines seches},Nsp,POINT (1.2631332583071857 6.153270467641386)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_657,Maritime,Golfe,Golfe 1,Bè-Est,"{Douches,WCs}",Nsp,POINT (1.256616332476171 6.15241138567025)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_658,Maritime,Golfe,Golfe 1,Bè-Est,{Pissotieres},Nsp,POINT (1.2567481904275293 6.152070488080645)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_659,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.25840178608809 6.155069857451284)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_65a,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.2543967376072682 6.153891588867787)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_65b,Maritime,Golfe,Golfe 1,Bè-Est,{Pissotieres},Nsp,POINT (1.2634549061071985 6.149542826276531)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_65c,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.2766135341675482 6.171715255704735)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_65d,Maritime,Golfe,Golfe 1,Bè-Est,"{Latrines seches,Pissotieres}",Nsp,POINT (1.2565870518700208 6.144368740495843)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_65e,Maritime,Golfe,Golfe 1,Bè-Est,"{Pissotieres,Latrines seches}",Nsp,POINT (1.2613075726313272 6.143681603226858)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_65f,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2675750517926794 6.167282540021861)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_660,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines seches},Nsp,POINT (1.26762 6.167165)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_661,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2723786995228514 6.160551992937098)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_662,Maritime,Golfe,Golfe 1,Bè-Est,"{WCs,Pissotieres}",Nsp,POINT (1.2754845404139976 6.160779608008315)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_663,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2645393090891408 6.171634214261357)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_664,Maritime,Golfe,Golfe 1,Bè-Est,"{WCs,Latrines a eau}",Nsp,POINT (1.26064726491966 6.1621275085626905)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_665,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2797467008763186 6.166642676895578)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_666,Maritime,Golfe,Golfe 1,Bè-Est,"{WCs,Douches}",Nsp,POINT (1.2554583333333333 6.14088)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_667,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.2518045771137631 6.135051243272449)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_668,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.2554542659281869 6.137163812826476)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_669,Maritime,Golfe,Golfe 1,Bè-Est,Nsp,Nsp,POINT (1.2556150000000008 6.158249999999997)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_66a,Maritime,Golfe,Golfe 1,Bè-Est,{WCs},Nsp,POINT (1.263573075373475 6.169013884490811)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_66b,Savanes,Tandjoaré,Tandjoaré 2,Sissiak,{Pissotieres},Nsp,POINT (0.1298713176318496 10.750649289230395)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_66c,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{WCs},Nsp,POINT (1.1806616666666667 6.257743333333334)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_66d,Maritime,Golfe,Golfe 1,Bè-Est,"{WCs,Douches}",Nsp,POINT (1.2685716666666667 6.170034999999998)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_66e,Maritime,Golfe,Golfe 1,Bè-Est,"{Latrines seches,WCs}",Nsp,POINT (1.2640333509066186 6.172671866513591)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_66f,Maritime,Golfe,Golfe 1,Bè-Est,{Latrines a eau},Nsp,POINT (1.2561984018879884 6.161823059875375)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_670,Maritime,Golfe,Golfe 1,Bè-Est,"{Pissotieres,Latrines a eau}",Nsp,POINT (1.253525000000001 6.144493333333332)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_671,Maritime,Golfe,Golfe 1,Bè-Est,Nsp,Nsp,POINT (1.2510783333333333 6.143434999999999)
_mview_educ_toilettes_etablissement_scolaire.fid--830921d_193db4998a0_672,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,{Latrines seches},Nsp,POINT (1.197702926290782 6.224770787435319)
