"indicateur","région","sexe","Unit","Date","Value"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2020","68.2"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2021","64.2"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Masculin","%","2022","55.4"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2011","52.9"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2012","56.3"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2013","43.3"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2014","56.9"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2015","62.6"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2016","58"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2017","68.6"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2018","63.5"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2019","54"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2020","62.6"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2021","55.2"
"Admission au BEPC par région et par sexe (%)","Lomé-Golfe","Féminin","%","2022","54"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2011","60.6"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2012","69.8"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2013","54"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2014","66.3"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2015","65.5"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2016","66"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2017","56.4"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2018","68.3"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2019","54.6"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2020","63.1"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2021","66"
"Admission au BEPC par région et par sexe (%)","Maritime","Total","%","2022","77.2"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2011","64.5"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2012","72"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2013","57.3"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2014","68"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2015","68"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2016","69.8"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2017","60.3"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2018","71.9"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2019","57.8"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2020","67.8"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2021","69.7"
"Admission au BEPC par région et par sexe (%)","Maritime","Masculin","%","2022","80.1"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2011","51.9"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2012","64.9"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2013","47.3"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2014","63"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2015","61.2"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2016","59.8"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2017","50.7"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2018","63"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2019","50.2"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2020","57.1"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2021","61.4"
"Admission au BEPC par région et par sexe (%)","Maritime","Féminin","%","2022","73.7"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2011","52.2"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2012","69.4"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2013","73.5"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2014","54.3"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2015","56.1"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2016","56"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2017","64.9"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2018","62.9"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2019","46.4"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2020","61.3"
"Admission au BEPC par région et par sexe (%)","Plateaux","Total","%","2021","69.9"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2011","55.8"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2012","72.1"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2013","76.5"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2014","59.2"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2015","59.2"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2016","61.1"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2017","68"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2018","66.4"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2019","50.3"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2020","65.7"
"Admission au BEPC par région et par sexe (%)","Plateaux","Masculin","%","2021","73.6"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2011","44.5"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2012","63.9"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2013","67.7"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2014","45"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2015","50.4"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2016","46.9"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2017","59.7"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2018","57.4"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2019","40.6"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2020","54.9"
"Admission au BEPC par région et par sexe (%)","Plateaux","Féminin","%","2021","64.8"
"Admission au BEPC par région et par sexe (%)","Plateaux Ouest","Total","%","2022","68.5"
"Admission au BEPC par région et par sexe (%)","Plateaux Ouest","Masculin","%","2022","72.6"
"Admission au BEPC par région et par sexe (%)","Plateaux Ouest","Féminin","%","2022","62.8"
"Admission au BEPC par région et par sexe (%)","Plateaux Est","Total","%","2022","68.7"
"Admission au BEPC par région et par sexe (%)","Plateaux Est","Masculin","%","2022","70.9"
"Admission au BEPC par région et par sexe (%)","Plateaux Est","Féminin","%","2022","65.9"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2011","69.2"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2012","66.6"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2013","62.3"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2014","68.7"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2015","60.8"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2016","53.7"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2017","64.5"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2018","60.4"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2019","56.5"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2020","66.6"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2021","67.4"
"Admission au BEPC par région et par sexe (%)","Centrale","Total","%","2022","65.8"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2011","70.8"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2012","69"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2013","65.9"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2014","69.5"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2015","64.3"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2016","58.5"
"Admission au BEPC par région et par sexe (%)","Centrale","Masculin","%","2017","67.6"
