"indicateurs","niveau","secteur","Unit","Date","Value"
"Nombre d'enseignants","Total","Public","Number","2014","34547"
"Nombre d'enseignants","Total","Public","Number","2015","35837"
"Nombre d'enseignants","Total","Public","Number","2016","37232"
"Nombre d'enseignants","Total","Public","Number","2017","39241"
"Nombre d'enseignants","Total","Public","Number","2018","40162"
"Nombre d'enseignants","Total","Public","Number","2019","65041"
"Nombre d'enseignants","Total","Public","Number","2020","44363"
"Nombre d'enseignants","Total","Public","Number","2021","45847"
"Nombre d'enseignants","Total","Public","Number","2022","44832"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2013","21278"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2014","18604"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2015","19265"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2016","21243"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2017","25428"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2018","25469"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2019","37943"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2020","30498"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2021","31850"
"Nombre d'enseignants","Total","Autres (Privés, confessionnelles, etc.)","Number","2022","32030"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2013","2964"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2014","3231"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2015","3732"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2016","4405"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2017","4929"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2018","5477"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2019","6862"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2020","7598"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2021","7975"
"Nombre d'enseignants","Jardins d'enfants","Total","Number","2022","7802"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2013","1815"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2014","1998"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2015","2473"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2016","2930"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2017","3231"
