"indicateurs","niveau","secteur","Unit","Date","Value"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2018","3655"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2019","4664"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2020","4987"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2021","5248"
"Nombre d'enseignants","Jardins d'enfants","Public","Number","2022","5236"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2013","1149"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2014","1233"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2015","1259"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2016","1475"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2017","1698"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2018","1822"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2019","2198"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2020","2611"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2021","2727"
"Nombre d'enseignants","Jardins d'enfants","Autres (Privés, confessionnelles, etc.)","Number","2022","2566"
"Nombre d'enseignants","Primaire","Total","Number","2013","34365"
"Nombre d'enseignants","Primaire","Total","Number","2014","34354"
"Nombre d'enseignants","Primaire","Total","Number","2015","33891"
"Nombre d'enseignants","Primaire","Total","Number","2016","36509"
"Nombre d'enseignants","Primaire","Total","Number","2017","37985"
"Nombre d'enseignants","Primaire","Total","Number","2018","38582"
"Nombre d'enseignants","Primaire","Total","Number","2019","74331"
"Nombre d'enseignants","Primaire","Total","Number","2020","41685"
"Nombre d'enseignants","Primaire","Total","Number","2021","42250"
"Nombre d'enseignants","Primaire","Total","Number","2022","41132"
"Nombre d'enseignants","Primaire","Public","Number","2013","22789"
"Nombre d'enseignants","Primaire","Public","Number","2014","22668"
"Nombre d'enseignants","Primaire","Public","Number","2015","23064"
"Nombre d'enseignants","Primaire","Public","Number","2016","23730"
"Nombre d'enseignants","Primaire","Public","Number","2017","24490"
"Nombre d'enseignants","Primaire","Public","Number","2018","24845"
"Nombre d'enseignants","Primaire","Public","Number","2019","48463"
"Nombre d'enseignants","Primaire","Public","Number","2020","26445"
"Nombre d'enseignants","Primaire","Public","Number","2021","26439"
"Nombre d'enseignants","Primaire","Public","Number","2022","25325"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2013","11576"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2014","11686"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2015","10827"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2016","12779"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2017","13495"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2018","13737"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2019","25868"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2020","15240"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2021","15811"
"Nombre d'enseignants","Primaire","Autres (Privés, confessionnelles, etc.)","Number","2022","15807"
"Nombre d'enseignants","Collège","Total","Number","2013","9934"
"Nombre d'enseignants","Collège","Total","Number","2014","11271"
"Nombre d'enseignants","Collège","Total","Number","2015","12652"
"Nombre d'enseignants","Collège","Total","Number","2016","12611"
"Nombre d'enseignants","Collège","Total","Number","2017","16041"
"Nombre d'enseignants","Collège","Total","Number","2018","15736"
"Nombre d'enseignants","Collège","Total","Number","2019","15818"
"Nombre d'enseignants","Collège","Total","Number","2020","18365"
"Nombre d'enseignants","Collège","Total","Number","2021","19618"
"Nombre d'enseignants","Collège","Total","Number","2022","20132"
"Nombre d'enseignants","Collège","Public","Number","2013","3158"
"Nombre d'enseignants","Collège","Public","Number","2014","6796"
"Nombre d'enseignants","Collège","Public","Number","2015","7215"
"Nombre d'enseignants","Collège","Public","Number","2016","7381"
"Nombre d'enseignants","Collège","Public","Number","2017","8049"
"Nombre d'enseignants","Collège","Public","Number","2018","8248"
"Nombre d'enseignants","Collège","Public","Number","2019","8400"
"Nombre d'enseignants","Collège","Public","Number","2020","9163"
"Nombre d'enseignants","Collège","Public","Number","2021","10062"
"Nombre d'enseignants","Collège","Public","Number","2022","10268"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2013","6776"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2014","4475"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2015","5437"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2016","5230"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2017","7992"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2018","7488"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2019","7418"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2020","9202"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2021","9556"
"Nombre d'enseignants","Collège","Autres (Privés, confessionnelles, etc.)","Number","2022","9864"
"Nombre d'enseignants","Lycée","Total","Number","2013","4384"
"Nombre d'enseignants","Lycée","Total","Number","2014","4295"
"Nombre d'enseignants","Lycée","Total","Number","2015","4827"
"Nombre d'enseignants","Lycée","Total","Number","2016","4950"
"Nombre d'enseignants","Lycée","Total","Number","2017","5714"
"Nombre d'enseignants","Lycée","Total","Number","2018","5836"
"Nombre d'enseignants","Lycée","Total","Number","2019","5973"
"Nombre d'enseignants","Lycée","Total","Number","2020","7213"
"Nombre d'enseignants","Lycée","Total","Number","2021","7854"
"Nombre d'enseignants","Lycée","Total","Number","2022","7796"
