"indicateur","région","sexe","Unit","Date","Value"
"Taux de Promotion au primaire par région  (%)","Centrale","Masculin","%","2019","82.4"
"Taux de Promotion au primaire par région  (%)","Centrale","Féminin","%","2014","82.1"
"Taux de Promotion au primaire par région  (%)","Centrale","Féminin","%","2015","83.8"
"Taux de Promotion au primaire par région  (%)","Centrale","Féminin","%","2016","82.8"
"Taux de Promotion au primaire par région  (%)","Centrale","Féminin","%","2017","83"
"Taux de Promotion au primaire par région  (%)","Centrale","Féminin","%","2018","81.9"
"Taux de Promotion au primaire par région  (%)","Centrale","Féminin","%","2019","82.6"
"Taux de Promotion au primaire par région  (%)","Kara","Total","%","2014","83.9"
"Taux de Promotion au primaire par région  (%)","Kara","Total","%","2015","82.4"
"Taux de Promotion au primaire par région  (%)","Kara","Total","%","2016","83.7"
"Taux de Promotion au primaire par région  (%)","Kara","Total","%","2017","83.8"
"Taux de Promotion au primaire par région  (%)","Kara","Total","%","2018","80.8"
"Taux de Promotion au primaire par région  (%)","Kara","Total","%","2019","80.3"
"Taux de Promotion au primaire par région  (%)","Kara","Masculin","%","2014","84.6"
"Taux de Promotion au primaire par région  (%)","Kara","Masculin","%","2015","83"
"Taux de Promotion au primaire par région  (%)","Kara","Masculin","%","2016","84.1"
"Taux de Promotion au primaire par région  (%)","Kara","Masculin","%","2017","84.2"
"Taux de Promotion au primaire par région  (%)","Kara","Masculin","%","2018","81.2"
"Taux de Promotion au primaire par région  (%)","Kara","Masculin","%","2019","80.8"
"Taux de Promotion au primaire par région  (%)","Kara","Féminin","%","2014","83.2"
"Taux de Promotion au primaire par région  (%)","Kara","Féminin","%","2015","81.7"
"Taux de Promotion au primaire par région  (%)","Kara","Féminin","%","2016","83.2"
"Taux de Promotion au primaire par région  (%)","Kara","Féminin","%","2017","83.3"
"Taux de Promotion au primaire par région  (%)","Kara","Féminin","%","2018","80.4"
"Taux de Promotion au primaire par région  (%)","Kara","Féminin","%","2019","79.7"
"Taux de Promotion au primaire par région  (%)","Savanes","Total","%","2014","78.1"
"Taux de Promotion au primaire par région  (%)","Savanes","Total","%","2015","85"
"Taux de Promotion au primaire par région  (%)","Savanes","Total","%","2016","84"
"Taux de Promotion au primaire par région  (%)","Savanes","Total","%","2017","79.2"
"Taux de Promotion au primaire par région  (%)","Savanes","Total","%","2018","80.9"
"Taux de Promotion au primaire par région  (%)","Savanes","Total","%","2019","79.1"
"Taux de Promotion au primaire par région  (%)","Savanes","Masculin","%","2014","78.8"
"Taux de Promotion au primaire par région  (%)","Savanes","Masculin","%","2015","85.1"
"Taux de Promotion au primaire par région  (%)","Savanes","Masculin","%","2016","84"
"Taux de Promotion au primaire par région  (%)","Savanes","Masculin","%","2017","79.7"
"Taux de Promotion au primaire par région  (%)","Savanes","Masculin","%","2018","81"
"Taux de Promotion au primaire par région  (%)","Savanes","Masculin","%","2019","79.3"
"Taux de Promotion au primaire par région  (%)","Savanes","Féminin","%","2014","77.4"
"Taux de Promotion au primaire par région  (%)","Savanes","Féminin","%","2015","84.9"
"Taux de Promotion au primaire par région  (%)","Savanes","Féminin","%","2016","83.9"
"Taux de Promotion au primaire par région  (%)","Savanes","Féminin","%","2017","78.5"
"Taux de Promotion au primaire par région  (%)","Savanes","Féminin","%","2018","80.8"
"Taux de Promotion au primaire par région  (%)","Savanes","Féminin","%","2019","78.9"
