"indicateur","région","sexe","Unit","Date","Value"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2019","61.9"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2020","68.8"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2021","70.4"
"Taux de transition primaire/secondaire 1","Savanes","Total","%","2022","66.9"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2014","86.8"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2015","87.1"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2016","81.8"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2017","59.2"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2018","68.6"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2019","63.7"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2020","71.6"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2021","71.9"
"Taux de transition primaire/secondaire 1","Savanes","Masculin","%","2022","68.2"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2014","84.7"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2015","85"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2016","80.2"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2017","52.4"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2018","62.3"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2019","59.9"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2020","65.5"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2021","68.6"
"Taux de transition primaire/secondaire 1","Savanes","Féminin","%","2022","65.3"
