id,number,joint_subproject_number,title,type,subproject_type_designation,sector,works_type,component,projects,financiers,status,current_status_of_the_site,progress_percent,progress_value,estimated_cost,contract_amount_work_companies,total_contract_amount_paid,amount_of_the_care_and_maintenance_fund_expected,care_and_maintenance_amount_on_village_account,date_signature_contract_work_companies,date_signature_contract_efme,contract_companies_amount_for_efme,date_signature_contract_controllers_in_SES,date_of_signature_of_contract_for_construction_supervisors,approval_date_cora,launch_date,expected_duration,expected_end_date,work_completion_date,date_of_technical_acceptance_of_work,date_of_provisional_acceptance_of_work,official_handover_date_to_community,existence_of_maintenance_plan,wave,number_of_classrooms,number_of_infrastructures,population,direct_beneficiaries_men,direct_beneficiaries_women,women_s_group,youth_group,breeders_farmers_group,ethnic_minority_group,date_of_organization_of_the_social_audit,number_of_participants_m_in_social_audit,number_of_participants_w_in_social_audit,number_of_participants_t_in_social_audit,beneficiary_villages_count,beneficiary_villages,list_of_villages_crossed_by_track_or_electrification,infrastructure_changed,infrastructure_deleted,level_of_achievement_donation_certificate,comments,location_name,latitude,longitude,hierarchy,geometry,link_to_subproject,depth_of_drilling,drilling_flow_rate,number_of_latrine_blocks,has_latrine_blocs,storage_capacity,official_handover_date_to_sector,length_of_the_track,extension_length,number_of_drinking_fountains,estimated_number_of_beneficiaries,refugee_and_internally_displaced_persons_group,has_fence,number_of_sections_of_track_developed,amount_of_the_controllers_contract_in_SES,amount_of_the_contract_for_construction_supervisors,date_signature_contract_facilitator,amount_of_the_facilitator_contract,amount_spent_on_completing_the_infrastructure,amount_spent_on_infrastructure_up_to_provisional_acceptance,number_of_streetlights,distance_covered_by_streetlights,canton,market_name
1171,587,352,Construction et équipement d'un bâtiment scolaire au JEP + Bloc de latrine sans forage + Réhabilitation d'un PMH en forage photovoltaïque,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,2024-10-18,,,,,,2024-11-18,5.0,2025-04-18,2025-04-15,2025-04-15,2025-04-30,,False,5,0.0,1,1212.0,646.0,626.0,,,,,,,,,1,4481,[],True,False,,,TCHANGUI,,,TCHANGUI > LOTOGOU > TONE 3 > TONE > SAVANES,,1010.0,,,,,,,,,,,,,,,,,,,,,,,
1172,588,369,Construction d'un batiment scolaire  de 3 salles et les accessoirs pour jardin d'enfant à Tamongue centre,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception technique 100.0%,Achevé,0.0,100.0,,,,,,2025-03-13,,,,,,2025-04-18,5.0,2025-09-18,2025-11-12,2025-12-04,,,False,6,0.0,1,880.0,404.0,476.0,,,,,,,,,3,4559; 4560; 4561,[],True,False,,,TAMONGUE-CENTRE,,,TAMONGUE-CENTRE > TAMONGUE > TANDJOUARE 1 > TANDJOUARE > SAVANES,,1030.0,,,,,,,,,,,,,,,,,,,,,,,
1173,589,390,Construction et équipement d'un bâtiement  scolaire au Jardin d'Enfants Préscolaire de l'EPP Naki-ouest centre ,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,,,,,,,2025-05-15,5.0,2025-10-15,2025-09-21,2025-09-25,2025-10-09,,True,6,0.0,1,2457.0,1041.0,1416.0,,,,,,,,,1,4661,[],True,False,Maire,,TINTUANGBANG,10.908825,0.092857,TINTUANGBANG > NAKI-OUEST > TONE 2 > TONE > SAVANES,POINT(0.092857 10.908825),1055.0,,,,,,,,,,,,,,,,,,,,,,,
1175,591,435,Construction et équipement d'un batiment scolaire + forage pour le jardin d'enfants JEP de Djé-Djabou,Clôtures d’école,Infrastructure,Education,Construction et équipement,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,25166470.0,,430000.0,430000.0,2024-10-15,,,,,2024-02-06,2024-10-15,5.0,2025-05-16,2025-05-22,2025-05-22,2025-07-01,,True,6,0.0,1,1987.0,594.0,763.0,True,True,True,True,2025-11-19,24.0,50.0,74.0,1,4611,[],True,False,Niveau Maire,,DJE-DJABOU,10.3179913,0.7220609,DJE-DJABOU > GANDO > OTI SUD 1 > OTI SUD > SAVANES,POINT(0.7220609 10.3179913),1111.0,,,,,,,,,,,,,,,,,,,,,,,
1181,597,6,"Construction d'un bâtiment scolaire de 4 classes, bureau, magasin + forage au CEG Agbansikiti + équipements",Blocs de latrines dans les établissements scolaires,Infrastructure,Education,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,0.0,100.0,,,,,,2024-01-08,,,,,2023-05-02,2024-01-17,5.0,2024-06-16,2025-02-24,2025-03-28,2025-03-28,,False,3,0.0,1,1300.0,637.0,663.0,,,,,2025-11-26,36.0,15.0,51.0,1,1929,[],True,False,Juge,,AGBANSIKITI,8.691495,1.619747,AGBANSIKITI > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.619747 8.691495),589.0,,,2.0,,,,,,,,,,,,,,,,,,,,
1182,598,8,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage à l'EPP Boléa + équipements",Blocs de latrines dans les établissements scolaires,Infrastructure,Education,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,0.0,100.0,,,,,,2024-01-08,,,,,2023-05-02,2023-10-30,5.0,2024-03-29,2024-08-01,2024-08-01,2024-08-16,2025-08-27,False,3,0.0,1,2500.0,1225.0,1275.0,,,,,2024-11-06,47.0,27.0,74.0,1,1931,[],True,False,Chef Canton,,BOLEA,8.528625,1.612648,BOLEA > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.612648 8.528625),592.0,,,2.0,,,,,,,,,,,,,,,,,,,,
1183,599,9,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Dogodè + équipements ",Blocs de latrines dans les établissements scolaires,Infrastructure,Education,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,100.0,100.0,,,3098208.0,,,2024-01-08,,3098208.0,,,2023-05-02,2024-01-15,5.0,2024-06-15,2024-11-30,2024-12-03,2024-12-03,2026-03-24,False,3,0.0,1,752.0,352.0,400.0,,,,,2025-11-29,38.0,16.0,54.0,1,1932,[],True,False,Juge,,DOGODE,8.786747,1.630917,DOGODE > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.630917 8.786747),594.0,,,2.0,,,,,,,,,,,,,,,,,,,,
1184,600,13,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Katankou + équipements ",Blocs de latrines dans les établissements scolaires,Infrastructure,Education,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,0.0,100.0,,,,250000.0,285000.0,2023-09-18,,,,,2023-05-02,2023-09-22,5.0,2024-02-22,2024-09-12,2024-09-04,2024-09-12,2025-11-12,True,3,0.0,1,460.0,253.0,207.0,True,True,True,True,2024-11-01,48.0,42.0,90.0,1,1934,[],True,False,Juge,,KATANKOU,8.778387,1.596722,KATANKOU > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(1.596722 8.778387),599.0,,,2.0,,,,,,,,,,,,,,,,,,,,
1185,601,14,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Lakaba + équipements ",Blocs de latrines dans les établissements scolaires,Infrastructure,Education,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,0.0,100.0,,,,,,2024-01-08,,,,,2023-05-02,2024-01-17,5.0,2024-06-16,2024-12-03,2024-12-03,2024-12-03,2026-03-24,True,3,0.0,1,700.0,343.0,357.0,,,,,2024-12-13,53.0,34.0,87.0,1,4025,[],True,False,Juge,,LAKABA,0.0,0.0,LAKABA > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(0.0 0.0),601.0,,,2.0,,,,,,,,,,,,,,,,,,,,
1186,602,16,"Construction d'un bâtiment scolaire de trois (03) classes, bureau, magasin + forage + blocs de latrines à l'EPP Samaï + équipements ",Blocs de latrines dans les établissements scolaires,Infrastructure,Education,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception définitive 100.0%,Réception définitive,0.0,100.0,,,,,,2024-01-08,,,,,2023-05-02,2023-10-30,5.0,2024-03-29,2024-07-29,2024-08-16,2024-08-16,2025-08-27,False,3,0.0,1,2050.0,1004.0,1046.0,,,,,2024-12-06,56.0,20.0,76.0,1,4021,[],True,False,Juge,,SAMAI,0.0,0.0,SAMAI > KABOLI > TCHAMBA 3 > TCHAMBA > CENTRALE,POINT(0.0 0.0),604.0,,,2.0,,,,,,,,,,,,,,,,,,,,
1187,603,19,Construction d’un bâtiment scolaire de 4 classes +bureau – magasin +forage +mobilier+ 2 blocs latrines au CEG,Blocs de latrines dans les établissements scolaires,Infrastructure,Education,Construction,COMPOSANTE 1.1,COSO,Banque Mondiale,Réception provisoire 100.0%,Réception provisoire,100.0,100.0,,,,,,2024-01-08,,,,,2023-05-02,2024-01-16,5.0,2024-06-16,2024-09-09,2024-09-09,2024-09-12,,True,3,0.0,1,5545.0,1911.0,3149.0,,,,,2024-12-04,118.0,86.0,204.0,1,1941,[],True,False,Juge,,ASSERE,,,ASSERE > PAGOUDA > BINAH 1 > BINAH > KARA,,610.0,,,2.0,,,,,,,,,,,,,,,,,,,,
